Timestamp,Voltage,Current,Power,Energy
14:11:38,14.00,3.82,53.44,1.445
14:11:39,13.99,3.86,54.05,1.460
14:11:40,13.97,3.86,53.93,1.475
14:11:41,14.00,3.81,53.34,1.490
14:11:42,14.03,3.83,53.68,1.505
14:11:43,14.01,3.86,54.11,1.520
14:11:44,13.99,3.91,54.68,1.535
14:11:45,14.01,3.90,54.69,1.550
14:11:46,13.98,3.81,53.26,1.565
14:11:47,13.98,3.79,52.97,1.580
14:11:48,14.02,3.78,52.95,1.594
14:11:49,13.99,3.79,53.07,1.609
14:11:50,14.04,3.79,53.21,1.624
14:11:51,13.97,3.81,53.18,1.639
14:11:52,13.96,3.79,52.97,1.653
14:11:53,14.00,3.81,53.38,1.668
14:11:54,14.02,3.82,53.54,1.683
14:11:55,14.02,3.79,53.14,1.698
14:11:56,13.99,3.83,53.57,1.713
14:11:57,14.01,3.74,52.36,1.727
14:11:58,14.03,3.75,52.55,1.742
14:11:59,13.98,3.79,52.90,1.756
14:12:00,14.02,3.75,52.49,1.771
14:12:01,13.99,3.82,53.41,1.786
14:12:02,14.02,3.75,52.61,1.801
14:12:03,13.98,3.75,52.44,1.815
14:12:04,13.96,3.81,53.12,1.830
14:12:05,14.03,3.72,52.24,1.844
14:12:06,14.03,3.75,52.60,1.859
14:12:07,14.01,3.76,52.63,1.874
14:12:08,14.03,3.69,51.73,1.888
14:12:09,13.96,3.74,52.21,1.902
14:12:10,13.96,3.70,51.69,1.917
14:12:11,14.00,3.72,52.11,1.931
14:12:12,13.98,3.63,50.79,1.945
14:12:13,13.95,3.73,52.07,1.960
14:12:14,14.03,3.63,50.97,1.974
14:12:15,14.02,3.61,50.63,1.988
14:12:16,14.00,3.65,51.04,2.002
14:12:17,13.98,3.61,50.53,2.016
14:12:18,14.01,3.66,51.21,2.031
14:12:19,13.96,3.64,50.76,2.045
14:12:20,14.00,3.61,50.57,2.059
14:12:21,14.02,3.59,50.35,2.073
14:12:22,13.95,3.65,50.90,2.087
14:12:23,14.01,3.63,50.81,2.101
14:12:24,13.97,3.61,50.41,2.115
14:12:25,13.97,3.64,50.82,2.129
14:12:26,13.99,3.58,50.10,2.143
14:12:27,14.00,3.59,50.23,2.157
14:12:28,13.98,3.59,50.11,2.171
14:12:29,13.98,3.58,50.10,2.185
14:12:30,14.00,3.50,49.00,2.198
14:12:31,13.97,3.56,49.78,2.212
14:12:32,13.98,3.55,49.62,2.226
14:12:33,13.93,3.50,48.74,2.239
14:12:34,13.95,3.57,49.78,2.253
14:12:35,13.99,3.53,49.45,2.267
14:12:36,13.95,3.51,48.90,2.281
14:12:37,13.96,3.45,48.18,2.294
14:12:38,13.92,3.50,48.65,2.308
14:12:39,13.93,3.43,47.77,2.321
14:12:40,13.93,3.42,47.66,2.334
14:12:41,13.97,3.43,47.90,2.347
14:12:42,13.97,3.43,47.90,2.361
14:12:43,13.96,3.51,48.96,2.374
14:12:44,13.91,3.42,47.64,2.387
14:12:45,13.96,3.39,47.28,2.401
14:12:46,13.94,3.45,48.07,2.414
14:12:47,13.92,3.38,47.07,2.427
14:12:48,13.94,3.38,47.19,2.440
14:12:49,13.95,3.46,48.28,2.454
14:12:50,13.96,3.35,46.81,2.467
14:12:51,13.93,3.33,46.42,2.479
14:12:52,13.93,3.37,47.01,2.493
14:12:53,13.91,3.32,46.20,2.505
14:12:54,13.96,3.33,46.52,2.518
14:12:55,13.96,3.37,47.05,2.531
14:12:56,13.94,3.35,46.78,2.544
14:12:57,13.93,3.38,47.11,2.557
14:12:58,13.95,3.29,45.97,2.570
14:12:59,13.92,3.33,46.32,2.583
14:13:00,13.90,3.28,45.52,2.596
14:13:01,13.89,3.26,45.31,2.608
14:13:02,13.87,3.36,46.57,2.621
14:13:03,13.89,3.26,45.26,2.634
14:13:04,13.93,3.30,45.90,2.647
14:13:05,13.91,3.23,44.97,2.659
14:13:06,13.89,3.31,46.02,2.672
14:13:07,13.88,3.23,44.89,2.684
14:13:08,13.90,3.23,44.89,2.697
14:13:09,13.90,3.24,44.97,2.709
14:13:10,13.88,3.24,45.01,2.722
14:13:11,13.90,3.24,44.97,2.734
14:13:12,13.85,3.30,45.67,2.747
14:13:13,13.86,3.28,45.53,2.760
14:13:14,13.84,3.25,45.02,2.772
14:13:15,13.86,3.22,44.59,2.784
14:13:16,13.84,3.26,45.07,2.797
14:13:17,13.83,3.23,44.70,2.809
14:13:18,13.88,3.20,44.46,2.822
14:13:19,13.83,3.18,43.98,2.834
14:13:20,13.86,3.22,44.65,2.846
14:13:21,13.89,3.14,43.58,2.858
14:13:22,13.81,3.24,44.81,2.871
14:13:23,13.88,3.24,44.95,2.883
14:13:24,13.87,3.17,43.90,2.896
14:13:25,13.81,3.21,44.36,2.908
14:13:26,13.83,3.19,44.08,2.920
14:13:27,13.87,3.19,44.21,2.932
14:13:28,13.86,3.12,43.21,2.944
14:13:29,13.84,3.17,43.89,2.957
14:13:30,13.79,3.17,43.74,2.969
14:13:31,13.86,3.13,43.37,2.981
14:13:32,13.83,3.11,43.01,2.993
14:13:33,13.84,3.18,44.04,3.005
14:13:34,13.84,3.10,42.96,3.017
14:13:35,13.82,3.12,43.14,3.029
14:13:36,13.78,3.16,43.60,3.041
14:13:37,13.84,3.13,43.30,3.053
14:13:38,13.83,3.10,42.87,3.065
14:13:39,13.77,3.13,43.06,3.077
14:13:40,13.79,3.13,43.13,3.089
14:13:41,13.83,3.15,43.60,3.101
14:13:42,13.76,3.16,43.55,3.113
14:13:43,13.79,3.11,42.84,3.125
14:13:44,13.83,3.14,43.37,3.137
14:13:45,13.81,3.14,43.30,3.149
14:13:46,13.75,3.05,41.94,3.161
14:13:47,13.81,3.14,43.37,3.173
14:13:48,13.74,3.14,43.18,3.185
14:13:49,13.75,3.14,43.21,3.197
14:13:50,13.78,3.14,43.25,3.209
14:13:51,13.75,3.15,43.30,3.221
14:13:52,13.78,3.08,42.36,3.233
14:13:53,13.75,3.08,42.38,3.244
14:13:54,13.78,3.05,42.01,3.256
14:13:55,13.77,3.07,42.29,3.268
14:13:56,13.79,3.08,42.43,3.280
14:13:57,13.77,3.11,42.77,3.291
14:13:58,13.74,3.16,43.35,3.304
14:13:59,13.76,3.12,42.93,3.315
14:14:00,13.76,3.12,42.87,3.327
14:14:01,13.72,3.14,43.03,3.339
14:14:02,13.75,3.13,43.03,3.351
14:14:03,13.77,3.12,42.98,3.363
14:14:04,13.74,3.12,42.87,3.375
14:14:05,13.70,3.15,43.22,3.387
14:14:06,13.73,3.12,42.79,3.399
14:14:07,13.71,3.09,42.35,3.411
14:14:08,13.70,3.14,43.00,3.423
14:14:09,13.70,3.11,42.63,3.435
14:14:10,13.72,3.12,42.83,3.446
14:14:11,13.73,3.12,42.89,3.458
14:14:12,13.68,3.10,42.44,3.470
14:14:13,13.73,3.09,42.43,3.482
14:14:14,13.71,3.11,42.59,3.494
14:14:15,13.68,3.10,42.39,3.506
14:14:16,13.68,3.08,42.12,3.517
14:14:17,13.72,3.10,42.58,3.529
14:14:18,13.68,3.12,42.69,3.541
14:14:19,13.66,3.18,43.43,3.553
14:14:20,13.69,3.19,43.64,3.565
14:14:21,13.73,3.20,43.95,3.577
14:14:22,13.70,3.18,43.63,3.589
14:14:23,13.68,3.12,42.71,3.601
14:14:24,13.72,3.18,43.59,3.613
14:14:25,13.69,3.22,44.11,3.626
14:14:26,13.65,3.16,43.21,3.638
14:14:27,13.64,3.12,42.52,3.649
14:14:28,13.66,3.16,43.14,3.661
14:14:29,13.69,3.21,44.01,3.674
14:14:30,13.64,3.22,43.86,3.686
14:14:31,13.70,3.21,43.94,3.698
14:14:32,13.69,3.25,44.48,3.710
14:14:33,13.66,3.16,43.16,3.722
14:14:34,13.66,3.21,43.90,3.735
14:14:35,13.70,3.21,43.97,3.747
14:14:36,13.64,3.22,43.93,3.759
14:14:37,13.63,3.24,44.17,3.771
14:14:38,13.63,3.23,44.07,3.784
14:14:39,13.65,3.24,44.20,3.796
14:14:40,13.67,3.27,44.65,3.808
14:14:41,13.63,3.21,43.77,3.820
14:14:42,13.68,3.21,43.96,3.833
14:14:43,13.65,3.29,44.94,3.845
14:14:44,13.66,3.28,44.74,3.858
14:14:45,13.64,3.34,45.52,3.870
14:14:46,13.61,3.28,44.69,3.883
14:14:47,13.60,3.26,44.34,3.895
14:14:48,13.64,3.25,44.32,3.907
14:14:49,13.62,3.36,45.77,3.920
14:14:50,13.64,3.34,45.56,3.933
14:14:51,13.62,3.38,46.05,3.945
14:14:52,13.65,3.34,45.62,3.958
14:14:53,13.59,3.37,45.74,3.971
14:14:54,13.61,3.35,45.59,3.983
14:14:55,13.64,3.38,46.08,3.996
14:14:56,13.61,3.30,44.93,4.009
14:14:57,13.64,3.35,45.74,4.021
14:14:58,13.60,3.33,45.32,4.034
14:14:59,13.61,3.42,46.59,4.047
14:15:00,13.61,3.44,46.80,4.060
14:15:01,13.64,3.38,46.04,4.073
14:15:02,13.61,3.41,46.39,4.086
14:15:03,13.64,3.35,45.74,4.098
14:15:04,13.62,3.44,46.89,4.111
14:15:05,13.64,3.44,46.86,4.124
14:15:06,13.58,3.48,47.27,4.137
14:15:07,13.61,3.43,46.70,4.150
14:15:08,13.61,3.44,46.86,4.163
14:15:09,13.65,3.44,46.99,4.177
14:15:10,13.64,3.48,47.39,4.190
14:15:11,13.57,3.50,47.50,4.203
14:15:12,13.64,3.48,47.48,4.216
14:15:13,13.59,3.50,47.59,4.229
14:15:14,13.57,3.53,47.84,4.243
14:15:15,13.60,3.55,48.31,4.256
14:15:16,13.62,3.47,47.31,4.269
14:15:17,13.62,3.58,48.74,4.283
14:15:18,13.60,3.54,48.20,4.296
14:15:19,13.64,3.55,48.39,4.310
14:15:20,13.58,3.58,48.56,4.323
14:15:21,13.60,3.53,47.96,4.336
14:15:22,13.60,3.51,47.76,4.350
14:15:23,13.64,3.60,49.06,4.363
14:15:24,13.61,3.54,48.20,4.377
14:15:25,13.58,3.64,49.50,4.390
14:15:26,13.56,3.60,48.80,4.404
14:15:27,13.61,3.62,49.30,4.418
14:15:28,13.62,3.61,49.19,4.431
14:15:29,13.56,3.58,48.63,4.445
14:15:30,13.59,3.65,49.65,4.459
14:15:31,13.56,3.61,49.01,4.472
14:15:32,13.57,3.59,48.68,4.486
14:15:33,13.63,3.65,49.72,4.500
14:15:34,13.58,3.61,49.04,4.513
14:15:35,13.60,3.67,49.93,4.527
14:15:36,13.63,3.63,49.51,4.541
14:15:37,13.61,3.62,49.25,4.554
14:15:38,13.61,3.67,49.95,4.568
14:15:39,13.60,3.64,49.43,4.582
14:15:40,13.56,3.67,49.74,4.596
14:15:41,13.62,3.74,50.97,4.610
14:15:42,13.62,3.69,50.31,4.624
14:15:43,13.63,3.70,50.46,4.638
14:15:44,13.63,3.70,50.51,4.652
14:15:45,13.62,3.69,50.26,4.666
14:15:46,13.62,3.70,50.46,4.680
14:15:47,13.64,3.72,50.75,4.694
14:15:48,13.65,3.74,51.00,4.708
14:15:49,13.61,3.74,50.89,4.722
14:15:50,13.59,3.80,51.65,4.737
14:15:51,13.60,3.79,51.56,4.751
14:15:52,13.62,3.83,52.21,4.766
14:15:53,13.62,3.76,51.27,4.780
14:15:54,13.64,3.75,51.21,4.794
14:15:55,13.61,3.83,52.14,4.809
14:15:56,13.64,3.81,51.90,4.823
14:15:57,13.62,3.82,52.03,4.837
14:15:58,13.61,3.82,52.04,4.852
14:15:59,13.60,3.81,51.77,4.866
14:16:00,13.64,3.79,51.62,4.881
14:16:01,13.59,3.84,52.13,4.895
14:16:02,13.64,3.87,52.86,4.910
14:16:03,13.60,3.87,52.65,4.924
14:16:04,13.61,3.82,52.02,4.939
14:16:05,13.63,3.86,52.54,4.953
14:16:06,13.59,3.84,52.13,4.968
14:16:07,13.60,3.89,52.87,4.983
14:16:08,13.61,3.86,52.57,4.997
14:16:09,13.60,3.83,52.14,5.012
14:16:10,13.66,3.92,53.53,5.027
14:16:11,13.62,3.92,53.40,5.041
14:16:12,13.62,3.88,52.79,5.056
14:16:13,13.65,3.92,53.54,5.071
14:16:14,13.61,3.89,52.87,5.086
14:16:15,13.64,3.84,52.43,5.100
14:16:16,13.68,3.92,53.62,5.115
14:16:17,13.63,3.94,53.66,5.130
14:16:18,13.66,3.93,53.62,5.145
14:16:19,13.63,3.85,52.40,5.159
14:16:20,13.68,3.83,52.42,5.174
14:16:21,13.64,3.86,52.60,5.189
14:16:22,13.68,3.90,53.32,5.203
14:16:23,13.67,3.92,53.53,5.218
14:16:24,13.64,3.89,53.01,5.233
14:16:25,13.63,3.92,53.37,5.248
14:16:26,13.62,3.92,53.35,5.263
14:16:27,13.64,3.90,53.17,5.277
14:16:28,13.68,3.88,53.13,5.292
14:16:29,13.67,3.91,53.44,5.307
14:16:30,13.67,3.87,52.85,5.322
14:16:31,13.70,3.94,53.92,5.337
14:16:32,13.69,3.90,53.39,5.351
14:16:33,13.67,3.87,52.90,5.366
14:16:34,13.66,3.94,53.81,5.381
14:16:35,13.70,3.90,53.38,5.396
14:16:36,13.67,3.90,53.35,5.411
14:16:37,13.68,3.89,53.20,5.426
14:16:38,13.72,3.95,54.22,5.441
14:16:39,13.70,3.91,53.60,5.456
14:16:40,13.69,3.84,52.62,5.470
14:16:41,13.67,3.87,52.91,5.485
14:16:42,13.67,3.87,52.91,5.500
14:16:43,13.68,3.83,52.46,5.514
14:16:44,13.74,3.90,53.53,5.529
14:16:45,13.74,3.93,53.96,5.544
14:16:46,13.68,3.92,53.63,5.559
14:16:47,13.71,3.90,53.44,5.574
14:16:48,13.69,3.89,53.33,5.589
14:16:49,13.69,3.93,53.88,5.603
14:16:50,13.75,3.85,52.99,5.618
14:16:51,13.74,3.91,53.65,5.633
14:16:52,13.71,3.82,52.41,5.648
14:16:53,13.71,3.90,53.41,5.662
14:16:54,13.75,3.83,52.67,5.677
14:16:55,13.72,3.84,52.67,5.692
14:16:56,13.73,3.86,53.00,5.706
14:16:57,13.74,3.86,53.03,5.721
14:16:58,13.75,3.90,53.65,5.736
14:16:59,13.72,3.90,53.52,5.751
14:17:00,13.74,3.89,53.49,5.766
14:17:01,13.74,3.85,52.91,5.781
14:17:02,13.75,3.85,52.99,5.795
14:17:03,13.76,3.82,52.55,5.810
14:17:04,13.79,3.78,52.18,5.824
14:17:05,13.79,3.86,53.20,5.839
14:17:06,13.77,3.82,52.53,5.854
14:17:07,13.74,3.82,52.46,5.868
14:17:08,13.75,3.78,51.91,5.883
14:17:09,13.78,3.84,52.93,5.897
14:17:10,13.76,3.83,52.66,5.912
14:17:11,13.75,3.81,52.36,5.927
14:17:12,13.81,3.80,52.47,5.941
14:17:13,13.77,3.78,52.12,5.956
14:17:14,13.78,3.75,51.63,5.970
14:17:15,13.80,3.76,51.94,5.984
14:17:16,13.77,3.71,51.06,5.999
14:17:17,13.81,3.72,51.36,6.013
14:17:18,13.82,3.75,51.86,6.027
14:17:19,13.83,3.77,52.12,6.042
14:17:20,13.82,3.79,52.41,6.056
14:17:21,13.78,3.73,51.39,6.071
14:17:22,13.81,3.70,51.13,6.085
14:17:23,13.79,3.67,50.56,6.099
14:17:24,13.80,3.69,50.85,6.113
14:17:25,13.79,3.66,50.49,6.127
14:17:26,13.86,3.72,51.51,6.141
14:17:27,13.80,3.70,51.10,6.155
14:17:28,13.82,3.62,50.09,6.169
14:17:29,13.79,3.63,50.06,6.183
14:17:30,13.87,3.64,50.54,6.197
14:17:31,13.81,3.66,50.55,6.211
14:17:32,13.84,3.60,49.88,6.225
14:17:33,13.87,3.61,50.00,6.239
14:17:34,13.86,3.58,49.59,6.253
14:17:35,13.82,3.57,49.32,6.267
14:17:36,13.83,3.63,50.21,6.281
14:17:37,13.84,3.62,50.08,6.294
14:17:38,13.82,3.60,49.82,6.308
14:17:39,13.82,3.65,50.46,6.322
14:17:40,13.88,3.53,49.03,6.336
14:17:41,13.85,3.60,49.90,6.350
14:17:42,13.83,3.63,50.15,6.364
14:17:43,13.86,3.55,49.20,6.377
14:17:44,13.83,3.51,48.54,6.391
14:17:45,13.89,3.50,48.56,6.404
14:17:46,13.91,3.59,49.93,6.418
14:17:47,13.89,3.56,49.40,6.432
14:17:48,13.89,3.53,49.08,6.446
14:17:49,13.84,3.50,48.49,6.459
14:17:50,13.88,3.57,49.50,6.473
14:17:51,13.91,3.47,48.30,6.486
14:17:52,13.92,3.45,48.08,6.500
14:17:53,13.88,3.48,48.26,6.513
14:17:54,13.88,3.47,48.13,6.526
14:17:55,13.90,3.48,48.41,6.540
14:17:56,13.87,3.41,47.37,6.553
14:17:57,13.90,3.51,48.81,6.567
14:17:58,13.94,3.47,48.41,6.580
14:17:59,13.89,3.48,48.27,6.593
14:18:00,13.91,3.46,48.08,6.607
14:18:01,13.92,3.46,48.19,6.620
14:18:02,13.93,3.43,47.73,6.633
14:18:03,13.93,3.35,46.73,6.646
14:18:04,13.93,3.40,47.36,6.659
14:18:05,13.95,3.40,47.49,6.673
14:18:06,13.96,3.43,47.89,6.686
14:18:07,13.93,3.40,47.33,6.699
14:18:08,13.94,3.34,46.61,6.712
14:18:09,13.95,3.32,46.25,6.725
14:18:10,13.95,3.40,47.36,6.738
14:18:11,13.94,3.33,46.37,6.751
14:18:12,13.91,3.32,46.25,6.764
14:18:13,13.95,3.37,46.97,6.777
14:18:14,13.96,3.35,46.79,6.790
14:18:15,13.91,3.31,46.06,6.803
14:18:16,13.97,3.37,47.01,6.816
14:18:17,13.95,3.25,45.37,6.828
14:18:18,13.92,3.35,46.59,6.841
14:18:19,13.92,3.29,45.84,6.854
14:18:20,13.05,2.00,26.05,6.861
14:18:21,13.04,1.98,25.87,6.868
14:18:22,13.07,1.98,25.82,6.876
14:18:23,13.04,1.97,25.68,6.883
14:18:24,13.07,2.00,26.08,6.890
14:18:25,13.07,1.98,25.94,6.897
14:18:26,13.09,1.99,25.98,6.904
14:18:27,13.07,1.94,25.39,6.911
14:18:28,13.05,1.92,25.03,6.918
14:18:29,13.06,1.93,25.21,6.925
14:18:30,13.04,1.93,25.18,6.932
14:18:31,13.03,1.91,24.95,6.939
14:18:32,13.07,1.95,25.44,6.946
14:18:33,13.07,1.89,24.74,6.953
14:18:34,13.03,1.96,25.50,6.960
14:18:35,13.03,1.93,25.10,6.967
14:18:36,13.01,1.94,25.29,6.974
14:18:37,13.02,1.88,24.51,6.981
14:18:38,13.02,1.95,25.43,6.988
14:18:39,13.01,1.91,24.88,6.995
14:18:40,13.01,1.96,25.51,7.002
14:18:41,13.00,1.89,24.56,7.009
14:18:42,13.04,1.89,24.61,7.016
14:18:43,13.00,1.94,25.22,7.023
14:18:44,12.99,1.87,24.27,7.030
14:18:45,13.00,1.91,24.80,7.037
14:18:46,13.02,1.92,24.97,7.043
14:18:47,12.98,1.91,24.83,7.050
14:18:48,13.00,1.92,24.91,7.057
14:18:49,12.99,1.89,24.51,7.064
14:18:50,13.01,1.88,24.48,7.071
14:18:51,12.96,1.86,24.06,7.078
14:18:52,12.97,1.87,24.21,7.084
14:18:53,12.95,1.82,23.59,7.091
14:18:54,12.96,1.86,24.11,7.098
14:18:55,12.98,1.85,24.00,7.104
14:18:56,12.99,1.85,24.02,7.111
14:18:57,12.94,1.86,24.04,7.118
14:18:58,12.93,1.82,23.53,7.124
14:18:59,12.95,1.82,23.60,7.131
14:19:00,12.94,1.85,23.97,7.137
14:19:01,12.93,1.87,24.14,7.144
14:19:02,12.94,1.84,23.84,7.151
14:19:03,12.92,1.80,23.32,7.157
14:19:04,12.93,1.83,23.60,7.164
14:19:05,12.92,1.83,23.68,7.170
14:19:06,12.92,1.81,23.38,7.177
14:19:07,12.90,1.74,22.40,7.183
14:19:08,12.92,1.82,23.55,7.189
14:19:09,12.91,1.82,23.49,7.196
14:19:10,12.92,1.77,22.89,7.202
14:19:11,12.93,1.74,22.53,7.209
14:19:12,12.89,1.74,22.45,7.215
14:19:13,12.90,1.72,22.20,7.221
14:19:14,12.88,1.72,22.16,7.227
14:19:15,12.91,1.73,22.28,7.233
14:19:16,12.91,1.70,21.92,7.239
14:19:17,12.90,1.69,21.76,7.246
14:19:18,12.90,1.74,22.47,7.252
14:19:19,12.85,1.67,21.43,7.258
14:19:20,12.88,1.74,22.35,7.264
14:19:21,12.89,1.66,21.45,7.270
14:19:22,12.89,1.72,22.22,7.276
14:19:23,12.84,1.69,21.66,7.282
14:19:24,12.87,1.71,21.98,7.288
14:19:25,12.82,1.61,20.67,7.294
14:19:26,12.85,1.64,21.13,7.300
14:19:27,12.86,1.62,20.82,7.306
14:19:28,12.84,1.60,20.52,7.311
14:19:29,12.83,1.65,21.18,7.317
14:19:30,12.86,1.66,21.29,7.323
14:19:31,12.85,1.56,20.07,7.329
14:19:32,12.83,1.63,20.92,7.334
14:19:33,12.82,1.61,20.66,7.340
14:19:34,12.80,1.58,20.19,7.346
14:19:35,12.81,1.55,19.81,7.351
14:19:36,12.78,1.59,20.27,7.357
14:19:37,12.78,1.52,19.40,7.362
14:19:38,12.82,1.58,20.31,7.368
14:19:39,12.78,1.55,19.81,7.373
14:19:40,12.77,1.57,20.11,7.379
14:19:41,12.79,1.54,19.67,7.385
14:19:42,12.76,1.52,19.45,7.390
14:19:43,12.81,1.50,19.17,7.395
14:19:44,12.75,1.49,18.98,7.401
14:19:45,12.75,1.48,18.86,7.406
14:19:46,12.76,1.51,19.22,7.411
14:19:47,12.76,1.55,19.73,7.417
14:19:48,12.77,1.53,19.52,7.422
14:19:49,12.78,1.45,18.56,7.427
14:19:50,12.77,1.47,18.81,7.432
14:19:51,12.77,1.42,18.19,7.437
14:19:52,12.72,1.42,18.10,7.442
14:19:53,12.75,1.48,18.91,7.448
14:19:54,12.72,1.43,18.18,7.453
14:19:55,12.72,1.45,18.45,7.458
14:19:56,12.71,1.41,17.98,7.463
14:19:57,12.73,1.44,18.34,7.468
14:19:58,12.71,1.43,18.16,7.473
14:19:59,12.71,1.46,18.60,7.478
14:20:00,12.72,1.44,18.31,7.483
14:20:01,12.69,1.43,18.10,7.488
14:20:02,12.70,1.40,17.84,7.493
14:20:03,12.70,1.43,18.17,7.498
14:20:04,12.67,1.41,17.89,7.503
14:20:05,12.68,1.37,17.38,7.508
14:20:06,12.72,1.36,17.34,7.513
14:20:07,12.66,1.42,17.98,7.518
14:20:08,12.67,1.40,17.78,7.523
14:20:09,12.68,1.39,17.58,7.528
14:20:10,12.68,1.40,17.71,7.533
14:20:11,12.68,1.41,17.84,7.538
14:20:12,12.68,1.39,17.56,7.542
14:20:13,12.69,1.38,17.50,7.547
14:20:14,12.64,1.39,17.55,7.552
14:20:15,12.66,1.41,17.90,7.557
14:20:16,12.67,1.40,17.70,7.562
14:20:17,12.66,1.36,17.23,7.567
14:20:18,12.67,1.41,17.81,7.572
14:20:19,12.65,1.39,17.54,7.577
14:20:20,12.65,1.38,17.42,7.582
14:20:21,12.62,1.36,17.19,7.586
14:20:22,12.66,1.32,16.72,7.591
14:20:23,12.64,1.39,17.55,7.596
14:20:24,12.67,1.30,16.50,7.600
14:20:25,12.66,1.35,17.09,7.605
14:20:26,12.65,1.31,16.52,7.610
14:20:27,12.67,1.32,16.71,7.614
14:20:28,12.64,1.32,16.64,7.619
14:20:29,12.64,1.30,16.46,7.624
14:20:30,12.63,1.39,17.54,7.628
14:20:31,12.62,1.30,16.43,7.633
14:20:32,12.60,1.32,16.57,7.638
14:20:33,12.63,1.40,17.69,7.643
